Volledige opname,theater,14,713.2,1311.6,1909.9,2577.2,3198.5,3796.8,4372.2,4924.5,5453.9,5960.4,2127.2,3964,5800.7,7811.8,9706.6,11543.4,13322.1,15042.7,16705.3,18309.7,2873.9,5319.5,7765,10441.5,12964,15409.6,17778.2,20069.8,22284.5,24422.3,6693.7,12632.4,18571.1,24923.6,31000.2,36938.9,42739.6,48402.4,53927.3,59314.2,1
Volledige opname,theater,15,741.2,1367.4,1993.7,2688.9,3338.2,3964.5,4567.8,5148.1,5705.4,6239.8,2224.5,4158.5,6092.6,8200.9,10193,12127.1,14003.1,15821,17580.8,19282.6,2988.2,5548,8107.8,10898.5,13535.3,16095.2,18578,20984,23312.9,25564.9,6981.9,13208.8,19435.7,26076.5,32441.3,38668.2,44757.2,50708.2,56521.3,62196.4,1
Volledige opname,theater,16,769.1,1423.3,2077.6,2800.7,3477.9,4132.1,4763.4,5371.7,5956.9,6519.3,2321.7,4353.1,6384.4,8590,10679.5,12710.8,14684.1,16599.3,18456.4,20255.4,3102.4,5776.5,8450.6,11355.6,14106.6,16780.7,19377.9,21898.1,24341.3,26707.6,7270.2,13785.3,20300.4,27229.4,33882.4,40397.5,46774.7,53014,59115.3,65078.6,1
Volledige opname,theater,17,797.1,1479.2,2161.4,2912.5,3617.6,4299.8,4959,5595.2,6208.4,6798.7,2419,4547.7,6676.3,8979.2,11165.9,13294.5,15365.1,17377.5,19331.9,21228.2,3216.7,6005.1,8793.4,11812.7,14678,17466.3,20177.7,22812.2,25369.7,27850.2,7558.4,14361.7,21165.1,28382.2,35323.5,42126.9,48792.3,55319.7,61709.3,67960.9,1
Volledige opname,theater,18,825,1535.1,2245.2,3024.3,3757.4,4467.5,5154.6,5818.8,6460,7078.2,2516.3,4742.2,6968.1,9368.3,11652.3,13878.2,16046.1,18155.8,20207.5,22201.1,3331,6233.6,9136.2,12269.7,15249.3,18151.9,20977.6,23726.3,26398,28992.8,7846.6,14938.2,22029.7,29535.1,36764.6,43856.2,50809.8,57625.5,64303.3,70843.1,1
Volledige opname,theater,19,870.6,1626.4,2382.2,3206.8,3985.6,4741.3,5474.1,6183.9,6870.7,7534.6,2612.1,4933.9,7255.6,9751.6,12131.5,14453.2,16716.9,18922.5,21070,23159.4,3317.6,6206.9,9096.2,12216.3,15182.5,18071.8,20884.1,23619.5,26277.9,28859.3,7667.3,14579.5,21491.8,28817.8,35868,42780.3,49554.6,56190.9,62689.4,69049.9,1
Volledige opname,theater,20,898.6,1682.3,2466,3318.6,4125.3,4909,5669.7,6407.5,7122.2,7814,2732.7,5174.9,7617.2,10233.7,12734,15176.3,17560.5,19886.6,22154.6,24364.6,3594.9,6761.4,9928,13325.4,16568.9,19735.5,22825.1,25837.7,28773.4,31632.1,8488.4,16221.7,23955.1,32102.3,39973.6,47706.9,55302.3,62759.8,70079.3,77260.9,1
Volledige opname,concert,1,422.6,707,991.4,1358.7,1670.8,1955.2,2212,2441.2,2642.7,2816.5,1476.7,2608.5,3740.4,5079.1,6279.9,7411.7,8474.6,9468.5,10393.4,11249.4,1898.7,3277.5,4656.3,6307.8,7777.6,9156.4,10444.3,11641.4,12747.5,13762.8,5813.1,10387.6,14962.1,20240.6,25049.8,29624.3,33964.2,38069.4,41940,45576,1
Volledige opname,concert,2,437.5,736.8,1036.1,1418.4,1745.3,2044.6,2316.3,2560.4,2776.8,2965.6,1476.7,2608.5,3740.4,5079.1,6279.9,7411.7,8474.6,9468.5,10393.4,11249.4,1950.8,3381.8,4812.8,6516.5,8038.4,9469.4,10809.5,12058.7,13217,14284.4,5813.1,10387.6,14962.1,20240.6,25049.8,29624.3,33964.2,38069.4,41940,45576,1
Volledige opname,concert,3,452.4,766.6,1080.9,1478,1819.8,2134.1,2420.7,2679.6,2910.9,3114.6,1476.7,2608.5,3740.4,5079.1,6279.9,7411.7,8474.6,9468.5,10393.4,11249.4,2003,3486.1,4969.3,6725.2,8299.2,9782.4,11174.6,12476,13686.5,14806.1,5813.1,10387.6,14962.1,20240.6,25049.8,29624.3,33964.2,38069.4,41940,45576,1
Volledige opname,concert,4,480.3,822.5,1164.7,1589.8,1959.6,2301.7,2616.3,2903.2,3162.4,3394.1,1476.7,2608.5,3740.4,5079.1,6279.9,7411.7,8474.6,9468.5,10393.4,11249.4,2055.1,3590.5,5125.8,6933.8,8560,10095.4,11539.8,12893.3,14156,15327.7,5813.1,10387.6,14962.1,20240.6,25049.8,29624.3,33964.2,38069.4,41940,45576,1
